Координаты: (192.0, 132.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (186.5, 132.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (157.5, 132.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (78.5, 132.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (73.5, 132.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (56.5, 132.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (217.5, 132.0); Яркость: 453; Размер: 2; Тип: планета
Координаты: (132.5, 132.5); Яркость: 1773; Размер: 9; Тип: планета
Координаты: (14.0, 132.0); Яркость: 938; Размер: 4; Тип: планета
Координаты: (138.5, 132.0); Яркость: 2418; Размер: 12; Тип: планета
Координаты: (127.0, 132.0); Яркость: 3148; Размер: 16; Тип: планета
Координаты: (103.5, 132.0); Яркость: 2480; Размер: 12; Тип: планета
Координаты: (98.0, 131.5); Яркость: 2526; Размер: 12; Тип: планета
Координаты: (144.0, 131.5); Яркость: 3955; Размер: 20; Тип: планета
Координаты: (6.5, 113.0); Яркость: 1356; Размер: 6; Тип: планета
Координаты: (3.5, 110.5); Яркость: 8440; Размер: 49; Тип: планета
Координаты: (85.5, 30.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (57.0, 30.0); Яркость: 979; Размер: 4; Тип: планета
Координаты: (2.0, 33.0); Яркость: 7988; Размер: 32; Тип: звезда
Координаты: (91.5, 23.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (73.5, 24.0); Яркость: 503; Размер: 2; Тип: планета
Координаты: (166.0, 9.5); Яркость: 4489; Размер: 18; Тип: планета
Координаты: (135.5, 68.0); Яркость: 7855677; Размер: 36856; Тип: звезда
Координаты: (233.5, 101.0); Яркость: 1488; Размер: 6; Тип: планета
Координаты: (6.5, 101.0); Яркость: 2376; Размер: 10; Тип: планета
Координаты: (240.0, 98.5); Яркость: 3417; Размер: 14; Тип: планета
Координаты: (6.5, 96.0); Яркость: 1382; Размер: 6; Тип: планета
Координаты: (239.5, 90.5); Яркость: 243; Размер: 1; Тип: планета
Координаты: (269.5, 90.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (229.5, 89.5); Яркость: 240; Размер: 1; Тип: планета
Координаты: (6.0, 90.0); Яркость: 998; Размер: 4; Тип: планета
Координаты: (243.5, 85.0); Яркость: 3201; Размер: 14; Тип: планета
Координаты: (234.0, 85.0); Яркость: 2730; Размер: 12; Тип: планета
Координаты: (6.5, 85.0); Яркость: 1307; Размер: 6; Тип: планета
Координаты: (240.0, 78.0); Яркость: 985; Размер: 4; Тип: планета
Координаты: (239.5, 73.5); Яркость: 251; Размер: 1; Тип: планета
Координаты: (18.5, 73.5); Яркость: 230; Размер: 1; Тип: планета
Координаты: (9.0, 74.0); Яркость: 794; Размер: 4; Тип: планета
Координаты: (2.5, 73.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (245.5, 73.0); Яркость: 504; Размер: 2; Тип: планета
Координаты: (222.5, 72.5); Яркость: 254; Размер: 1; Тип: планета
Координаты: (256.5, 67.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (246.0, 68.5); Яркость: 1267; Размер: 6; Тип: планета
Координаты: (262.5, 67.0); Яркость: 467; Размер: 2; Тип: планета
Координаты: (222.5, 67.0); Яркость: 471; Размер: 2; Тип: планета
Координаты: (217.0, 67.0); Яркость: 950; Размер: 4; Тип: планета
Координаты: (245.5, 61.0); Яркость: 1253; Размер: 6; Тип: планета
Координаты: (216.5, 59.5); Яркость: 7057; Размер: 35; Тип: звезда
Координаты: (25.0, 56.0); Яркость: 964; Размер: 4; Тип: планета
Координаты: (14.0, 56.0); Яркость: 1007; Размер: 4; Тип: планета
Координаты: (169.0, 42.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (84.5, 42.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (14.0, 42.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (257.0, 42.0); Яркость: 982; Размер: 4; Тип: планета
Координаты: (245.5, 42.0); Яркость: 1289; Размер: 6; Тип: планета
Координаты: (235.0, 42.0); Яркость: 1821; Размер: 8; Тип: планета
Координаты: (223.0, 42.0); Яркость: 992; Размер: 4; Тип: планета
Координаты: (217.5, 42.0); Яркость: 504; Размер: 2; Тип: планета
Координаты: (192.0, 42.0); Яркость: 992; Размер: 4; Тип: планета
Координаты: (186.5, 42.0); Яркость: 1377; Размер: 6; Тип: планета
Координаты: (175.5, 42.0); Яркость: 1415; Размер: 6; Тип: планета
Координаты: (126.5, 41.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (79.0, 42.0); Яркость: 1007; Размер: 4; Тип: планета
Координаты: (69.0, 42.0); Яркость: 3528; Размер: 16; Тип: планета
Координаты: (62.0, 42.0); Яркость: 1003; Размер: 4; Тип: планета
Координаты: (56.5, 42.0); Яркость: 1339; Размер: 6; Тип: планета
Координаты: (39.0, 42.0); Яркость: 1000; Размер: 4; Тип: планета
Координаты: (240.5, 41.5); Яркость: 666; Размер: 3; Тип: планета
Координаты: (60.5, 38.5); Яркость: 239; Размер: 1; Тип: планета
Координаты: (50.5, 36.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (228.5, 35.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (169.5, 35.5); Яркость: 198; Размер: 1; Тип: планета
Координаты: (110.5, 36.0); Яркость: 468; Размер: 2; Тип: планета
Координаты: (240.0, 34.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (180.5, 31.5); Яркость: 250; Размер: 1; Тип: планета
Координаты: (61.5, 33.5); Яркость: 3062; Размер: 15; Тип: планета
Координаты: (248.0, 30.5); Яркость: 460; Размер: 2; Тип: планета
Координаты: (125.0, 30.5); Яркость: 506; Размер: 2; Тип: планета
Координаты: (66.5, 30.5); Яркость: 215; Размер: 1; Тип: планета
Координаты: (188.5, 31.5); Яркость: 1275; Размер: 5; Тип: планета
Координаты: (61.5, 28.0); Яркость: 505; Размер: 2; Тип: планета
Координаты: (126.5, 25.5); Яркость: 252; Размер: 1; Тип: планета
Координаты: (269.5, 20.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (241.5, 13.5); Яркость: 1894; Размер: 9; Тип: планета
Координаты: (234.5, 13.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (227.5, 15.5); Яркость: 1402; Размер: 7; Тип: планета
Координаты: (175.0, 14.5); Яркость: 2251; Размер: 10; Тип: планета
Координаты: (192.0, 12.0); Яркость: 6361; Размер: 32; Тип: планета
Координаты: (263.0, 8.0); Яркость: 942; Размер: 4; Тип: планета
Координаты: (217.0, 7.5); Яркость: 478; Размер: 2; Тип: планета
Координаты: (132.5, 7.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (129.5, 7.5); Яркость: 245; Размер: 1; Тип: планета
Координаты: (251.0, 11.0); Яркость: 8034; Размер: 40; Тип: планета
Координаты: (241.0, 7.5); Яркость: 2581; Размер: 12; Тип: планета
Координаты: (137.0, 5.5); Яркость: 4871; Размер: 28; Тип: планета
Координаты: (127.0, 2.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (234.5, 3.0); Яркость: 2634; Размер: 12; Тип: планета
Координаты: (228.0, 3.5); Яркость: 2144; Размер: 10; Тип: планета
Координаты: (104.5, 1.5); Яркость: 222; Размер: 1; Тип: планета
Координаты: (50.5, 1.5); Яркость: 225; Размер: 1; Тип: планета
Координаты: (10.5, 1.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (269.5, 4.0); Яркость: 4940; Размер: 24; Тип: планета
Координаты: (256.5, 4.5); Яркость: 26597; Размер: 153; Тип: звезда
Координаты: (242.0, 1.5); Яркость: 1173; Размер: 6; Тип: планета
Координаты: (110.0, 1.0); Яркость: 852; Размер: 4; Тип: планета
Координаты: (56.5, 1.0); Яркость: 463; Размер: 2; Тип: планета
Координаты: (135.5, 68.0); Яркость: 6595183; Размер: 36856; Тип: звезда
Координаты: (14.0, 114.0); Яркость: 1007; Размер: 4; Тип: планета
Координаты: (7.0, 114.0); Яркость: 1776; Размер: 8; Тип: планета
Координаты: (19.5, 90.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (13.5, 90.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (13.5, 83.5); Яркость: 1785; Размер: 7; Тип: планета
Координаты: (10.5, 79.5); Яркость: 212; Размер: 1; Тип: планета
Координаты: (9.5, 73.5); Яркость: 234; Размер: 1; Тип: планета
Координаты: (2.0, 74.0); Яркость: 863; Размер: 4; Тип: планета
Координаты: (14.0, 54.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (243.5, 54.0); Яркость: 4509; Размер: 18; Тип: планета
Координаты: (234.0, 54.0); Яркость: 1841; Размер: 8; Тип: планета
Координаты: (6.5, 54.0); Яркость: 2374; Размер: 10; Тип: планета
Координаты: (2.5, 52.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (6.5, 49.5); Яркость: 193; Размер: 1; Тип: планета
Координаты: (247.5, 49.0); Яркость: 2420; Размер: 10; Тип: планета
Координаты: (229.0, 49.0); Яркость: 962; Размер: 4; Тип: планета
Координаты: (13.5, 49.0); Яркость: 461; Размер: 2; Тип: планета
Координаты: (234.5, 48.5); Яркость: 2119; Размер: 9; Тип: планета
Координаты: (240.5, 46.5); Яркость: 1977; Размер: 9; Тип: планета
Координаты: (229.0, 43.5); Яркость: 501; Размер: 2; Тип: планета
Координаты: (240.0, 40.5); Яркость: 1474; Размер: 6; Тип: планета
Координаты: (246.0, 38.0); Яркость: 901; Размер: 4; Тип: планета
Координаты: (234.0, 38.0); Яркость: 917; Размер: 4; Тип: планета
Координаты: (247.5, 26.5); Яркость: 765; Размер: 3; Тип: планета
Координаты: (237.0, 26.0); Яркость: 857; Размер: 4; Тип: планета
Координаты: (244.0, 26.0); Яркость: 1553; Размер: 8; Тип: планета
Координаты: (262.0, 25.0); Яркость: 3491; Размер: 16; Тип: планета
Координаты: (247.5, 22.0); Яркость: 456; Размер: 2; Тип: планета
Координаты: (14.0, 20.0); Яркость: 922; Размер: 4; Тип: планета
Координаты: (251.5, 14.5); Яркость: 255; Размер: 1; Тип: планета
